mask,tp_plain,fp_plain,fn_plain,tn_plain,precision_plain,recall_plain,f1_plain,iou_plain,gt_positive_fraction_plain,pred_positive_fraction_plain,tp_efficientnet,fp_efficientnet,fn_efficientnet,tn_efficientnet,precision_efficientnet,recall_efficientnet,f1_efficientnet,iou_efficientnet,gt_positive_fraction_efficientnet,pred_positive_fraction_efficientnet,f1_change,precision_change,recall_change,iou_change,fp_change,fn_change,pred_positive_fraction_change
mask_90.h5,30,32,40,16282,0.4838709677419355,0.42857142857142855,0.45454545454545453,0.29411764705882354,0.0042724609375,0.0037841796875,19,12,51,16302,0.6129032258064516,0.2714285714285714,0.37623762376237624,0.23170731707317074,0.0042724609375,0.00189208984375,-0.07830783078307829,0.12903225806451613,-0.15714285714285714,-0.062410329985652796,-20,11,-0.00189208984375
mask_91.h5,0,26,0,16358,0.0,,0.0,0.0,0.0,0.0015869140625,0,43,0,16341,0.0,,0.0,0.0,0.0,0.00262451171875,0.0,0.0,,0.0,17,0,0.00103759765625
mask_92.h5,4,24,4,16352,0.14285714285714285,0.5,0.2222222222222222,0.125,0.00048828125,0.001708984375,0,1,8,16375,0.0,0.0,0.0,0.0,0.00048828125,6.103515625e-05,-0.2222222222222222,-0.14285714285714285,-0.5,-0.125,-23,4,-0.00164794921875
mask_93.h5,1272,11,8829,6272,0.9914263445050663,0.12592812592812594,0.22347153900210823,0.12579113924050633,0.61651611328125,0.07830810546875,826,75,9275,6208,0.9167591564927858,0.08177408177408177,0.1501545173604799,0.08117138364779874,0.61651611328125,0.05499267578125,-0.07331702164162832,-0.07466718801228045,-0.04415404415404417,-0.04461975559270759,64,446,-0.0233154296875
mask_94.h5,652,563,134,15035,0.5366255144032922,0.8295165394402035,0.6516741629185407,0.48332097850259453,0.0479736328125,0.07415771484375,593,299,193,15299,0.6647982062780269,0.7544529262086515,0.7067938021454112,0.5465437788018433,0.0479736328125,0.054443359375,0.055119639226870465,0.12817269187473468,-0.07506361323155208,0.06322280029924882,-264,59,-0.01971435546875
mask_95.h5,228,79,126,15951,0.742671009771987,0.6440677966101694,0.6898638426626323,0.5265588914549654,0.0216064453125,0.01873779296875,209,45,145,15985,0.8228346456692913,0.5903954802259888,0.6875,0.5238095238095238,0.0216064453125,0.0155029296875,-0.0023638426626323428,0.08016363589730435,-0.053672316384180685,-0.002749367645441536,-34,19,-0.00323486328125
mask_96.h5,263,356,107,15658,0.42487883683360256,0.7108108108108108,0.531850353892821,0.3622589531680441,0.0225830078125,0.03778076171875,269,259,101,15755,0.509469696969697,0.727027027027027,0.5991091314031181,0.4276629570747218,0.0225830078125,0.0322265625,0.06725877751029707,0.08459086013609446,0.016216216216216273,0.06540400390667772,-97,-6,-0.00555419921875
mask_97.h5,0,0,0,16384,,,,,0.0,0.0,0,181,0,16203,0.0,,0.0,0.0,0.0,0.01104736328125,,,,,181,0,0.01104736328125
mask_98.h5,246,212,74,15852,0.537117903930131,0.76875,0.6323907455012854,0.462406015037594,0.01953125,0.0279541015625,237,188,83,15876,0.5576470588235294,0.740625,0.636241610738255,0.46653543307086615,0.01953125,0.02593994140625,0.0038508652369696472,0.02052915489339835,-0.028125000000000067,0.004129418033272159,-24,9,-0.00201416015625
mask_99.h5,70,28,110,16176,0.7142857142857143,0.3888888888888889,0.5035971223021583,0.33653846153846156,0.010986328125,0.0059814453125,95,15,85,16189,0.8636363636363636,0.5277777777777778,0.6551724137931034,0.48717948717948717,0.010986328125,0.0067138671875,0.15157529149094517,0.14935064935064934,0.1388888888888889,0.1506410256410256,-13,-25,0.000732421875
