group_by,split,metric,count,min,p10,p25,median,p75,p90,max,mean,std
split+coverage_class,train,boundary_of_positive_fraction,22,0.00179463171036,0.0027372480181100003,0.0030624352216425,0.0041604432778,0.0056356659359000005,0.009766969942703006,0.0123230587129,0.0049094049888872724,0.002732190886766238
split+coverage_class,train,positive_fraction,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+coverage_class,train,ignore_fraction,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+coverage_class,train,ground_fraction,241,0.200286865234375,0.2108612060546875,0.226043701171875,0.2606353759765625,0.2974090576171875,0.3380279541015625,0.41741943359375,0.26822070363151584,0.049308575887923964
split+coverage_class,train,mean_slope_degrees,241,1.7838722467422485,12.049221992492676,18.798439025878906,28.603761672973633,35.610679626464844,38.460514068603516,43.53438949584961,26.662099603300767,10.343530752584622
split+coverage_class,train,distance_to_positive_m,201,50.93378053904894,96.0,174.7741399635541,287.11191197858716,505.5,741.9437310200822,1351.4001072961332,368.08207857012775,269.17505512429256
split+coverage_class,train,boundary_pixel_fraction,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+coverage_class,train,boundary_of_positive_fraction,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split+coverage_class,validation,positive_fraction,7,0.0113067626953,0.01434631347658,0.01882934570315,0.0284729003906,0.04021453857425,0.06488342285160001,0.0968170166016,0.03638349260604285,0.02679071652872142
split+coverage_class,validation,ignore_fraction,7,0.0686950683594,0.4592590332033601,0.751907348633,0.903182983398,0.9639663696284999,0.9783935546874,0.988693237305,0.7703312465121999,0.3013043568817942
split+coverage_class,validation,ground_fraction,7,0.208160400390625,0.21121826171875,0.2140655517578125,0.2411956787109375,0.269134521484375,0.2970947265625,0.309051513671875,0.24640110560825892,0.036527374262112236
split+coverage_class,validation,mean_slope_degrees,7,12.189247131347656,14.298547744750977,18.05610466003418,21.437726974487305,25.03918743133545,28.277474594116214,30.125259399414062,21.42040252685547,5.718723064767428
